"This offer has already been used, sorry.","Deze aanbieding is helaas al gebruikt."
"The offer is added to your cart.","De aanbieding is toegevoegd aan uw winkelwagen."
"Offer could not be added to your cart; ","De aanbieding kon niet aan uw winkelwagen worden toegevoegd; "
"Product could not be found.","Product kan niet gevonden worden."
"Sorry, the offer is not valid anymore.","Sorry, de aanbieding is niet meer geldig."
"The offer could not be found.","De aanbieding kon niet gevonden worden."
"Your request for an offer has been sent. Thank you for your interest!","Een offerte aanvraag is verstuurd. Bedankt voor uw interesse!"
"Discount has been succesfully deleted.","Aanbieding is succesvol verwijderd."
"Discount could not be deleted; ","Aanbieding kon niet verwijderd worden; "
"Discount has been saved succesfully and mail has been sent to the customer.","Aanbieding is succesvol opgeslagen en de klant is gemaild met het aanbod."
"Discount has been saved succesfully.","Aanbieding is succesvol opgeslagen."
"Could not save discount; ","Kan aanbieding niet opslaan; "
"new customer","nieuwe klant"
"Custom discount","Aanbieding"
"E-mail","E-mail"
"Sku","Artikelnummer"
"Custom price","Aanbiedingsprijs"
"Times used","Keren gebruikt"
"Send discount link to customer","Mail aanbiedingslink naar de klant"
"Submit","Opslaan"
"New discount","Nieuwe aanbieding"
"Discounts","Aanbiedingen"
"One-time unique offer for ","Eenmalig uniek aanbod voor "
"Customer","Klant"
"Discount request for ","Offerte aanvraag voor "
"Custom discounts","Aanbiedingen op maat"
"Unique link","Unieke link"
"Maximum number of times discount can be applied","Maximaal aantal keren dat een korting kan worden toegepast"